date_astro,HI1_TIME,HI1,HI1_TODAY,LO1_TIME,LO1,LO1_TODAY,HI2_TIME,HI2,HI2_TODAY,LO2_TIME,LO2,LO2_TODAY,HI3_TIME,HI3,HI3_DAY,LO3_TIME,LO3,LO3_DAY
29-Jul,04:19AM,0.93,TODAY,12:12PM,0.31,TODAY,05:19PM,0.43,TODAY,07:48PM,0.42,TODAY,-,-,-,-,-,-
30-Jul,05:02AM,1.5,TODAY,02:15PM,0.16,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
31-Jul,05:48AM,1.16,TODAY,03:30PM,0.01,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
1-Aug,06:37AM,1.24,TODAY,04:18PM,0.9,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
2-Aug,07:26AM,1.31,TODAY,04:54PM,-0.14,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
3-Aug,08:16AM,1.35,TODAY,05:27PM,-0.15,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
4-Aug,09:06AM,1.37,TODAY,06:00PM,-0.12,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
5-Aug,09:54AM,1.36,TODAY,06:33PM,-0.07,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
6-Aug,10:41AM,1.32,TODAY,07:03PM,0.01,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
7-Aug,11:25AM,1.25,TODAY,07:30PM,0.1,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
8-Aug,01:42AM,0.5,TODAY,03:53AM,0.47,TODAY,12:07PM,1.15,TODAY,07:53PM,0.2,TODAY,-,-,-,-,-,-
9-Aug,01:42AM,0.57,TODAY,05:12AM,0.49,TODAY,12:45PM,1.02,TODAY,08:04PM,0.29,TODAY,-,-,-,-,-,-
10-Aug,01:54AM,0.67,TODAY,06:46AM,0.51,TODAY,01:23PM,0.87,TODAY,08:00PM,0.37,TODAY,-,-,-,-,-,-
11-Aug,02:13AM,0.77,TODAY,08:49AM,0.49,TODAY,02:00PM,0.71,TODAY,07:42PM,0.41,TODAY,-,-,-,-,-,-
12-Aug,02:39AM,0.87,TODAY,10:30AM,0.43,TODAY,02:45PM,0.55,TODAY,07:21PM,0.42,TODAY,-,-,-,-,-,-
13-Aug,03:12AM,0.96,TODAY,12:13PM,0.33,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
14-Aug,03:52AM,1.06,TODAY,01:48PM,0.2,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
15-Aug,04:42AM,1.15,TODAY,02:48PM,0.06,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
16-Aug,05:42AM,1.24,TODAY,03:33PM,-0.05,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
17-Aug,06:42AM,1.34,TODAY,04:13PM,-0.14,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
18-Aug,07:42AM,1.42,TODAY,04:52PM,-0.18,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
19-Aug,08:42AM,1.46,TODAY,05:30PM,-0.17,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
20-Aug,09:43AM,1.46,TODAY,06:07PM,-0.1,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
21-Aug,12:42AM,0.46,TODAY,02:37AM,0.44,TODAY,10:44AM,1.4,TODAY,06:40PM,0.02,TODAY,-,-,-,-,-,-
22-Aug,12:39AM,0.53,TODAY,04:13AM,0.4,TODAY,11:41AM,1.28,TODAY,07:08PM,0.16,TODAY,-,-,-,-,-,-
23-Aug,12:54AM,0.65,TODAY,05:39AM,0.36,TODAY,12:36PM,1.1,TODAY,07:26PM,0.3,TODAY,-,-,-,-,-,-
24-Aug,01:18AM,0.79,TODAY,07:06AM,0.33,TODAY,01:32PM,0.88,TODAY,07:30PM,0.41,TODAY,-,-,-,-,-,-
25-Aug,01:49AM,0.93,TODAY,08:37AM,0.29,TODAY,02:34PM,0.66,TODAY,07:09PM,0.48,TODAY,-,-,-,-,-,-
26-Aug,02:27AM,1.05,TODAY,10:23AM,0.23,TODAY,04:19PM,0.46,TODAY,05:45PM,0.45,TODAY,-,-,-,-,-,-
27-Aug,03:12AM,1.13,TODAY,12:24PM,0.15,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
28-Aug,04:04AM,1.19,TODAY,02:04PM,0.05,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
29-Aug,05:05AM,1.22,TODAY,03:08PM,-0.02,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
30-Aug,06:07AM,1.24,TODAY,03:50PM,-0.05,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
1-Sep,01:06AM,1.27,TODAY,04:54PM,-0.02,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
2-Sep,09:00AM,1.26,TODAY,05:23PM,0.04,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
3-Sep,09:50AM,1.23,TODAY,05:49PM,0.13,TODAY,11:55PM,0.53,TODAY,-,-,-,-,-,-,-,-,-
4-Sep,10:37AM,1.17,TODAY,02:48AM,0.48,TODAY,11:51PM,0.6,TODAY,06:12PM,0.22,TODAY,-,-,-,-,-,-
5-Sep,11:21AM,1.08,TODAY,04:05AM,0.45,TODAY,-,-,-,06:27PM,0.32,TODAY,-,-,-,-,-,-
6-Sep,12:00AM,0.7,TODAY,05:16AM,0.42,TODAY,12:03PM,0.97,TODAY,06:29PM,0.41,TODAY,-,-,-,-,-,-
7-Sep,12:17AM,0.79,TODAY,06:30AM,0.4,TODAY,12:43PM,0.84,TODAY,06:12PM,0.46,TODAY,-,-,-,-,-,-
8-Sep,12:37AM,0.89,TODAY,07:44AM,0.36,TODAY,01:24PM,0.7,TODAY,05:58PM,0.48,TODAY,-,-,-,-,-,-
9-Sep,01:00AM,0.97,TODAY,08:55AM,0.32,TODAY,02:10PM,0.56,TODAY,05:40PM,0.48,TODAY,-,-,-,-,-,-
10-Sep,01:28AM,1.05,TODAY,10:12AM,0.26,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
11-Sep,02:03AM,1.11,TODAY,11:38AM,0.19,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
12-Sep,02:48AM,1.16,TODAY,01:00PM,0.99,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
13-Sep,03:48AM,1.21,TODAY,02:05PM,-0.01,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
14-Sep,05:06AM,1.26,TODAY,02:55PM,-0.08,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
15-Sep,06:22AM,1.31,TODAY,03:37PM,-0.11,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
16-Sep,07:31AM,1.34,TODAY,04:15PM,-0.08,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
17-Sep,08:39AM,1.33,TODAY,04:48PM,0,TODAY,11:02PM,0.54,TODAY,-,-,-,-,-,-,-,-,-
18-Sep,09:47AM,1.27,TODAY,02:21AM,0.44,TODAY,11:02PM,0.54,TODAY,05:18PM,0.13,TODAY,-,-,-,-,-,-
19-Sep,10:51AM,1.15,TODAY,03:51AM,0.34,TODAY,11:22PM,0.78,TODAY,05:41PM,0.27,TODAY,-,-,-,-,-,-
20-Sep,11:51AM,0.98,TODAY,05:09AM,0.24,TODAY,11:47PM,0.93,TODAY,05:53PM,0.42,TODAY,-,-,-,-,-,-
21-Sep,12:53PM,0.79,TODAY,06:24AM,0.16,TODAY,-,-,-,05:45PM,0.51,TODAY,-,-,-,-,-,-
22-Sep,12:16AM,1.07,TODAY,07:39AM,0.1,TODAY,02:04PM,0.6,TODAY,05:06PM,0.53,TODAY,-,-,-,-,-,-
23-Sep,12:51AM,1.17,TODAY,09:02AM,0.06,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
24-Sep,01:31AM,1.23,TODAY,10:36AM,0.03,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
25-Sep,02:17AM,1.24,TODAY,12:08PM,-0.01,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
26-Sep,03:15AM,1.21,TODAY,01:23PM,-0.03,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
27-Sep,04:27AM,1.18,TODAY,02:19PM,-0.03,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
28-Sep,05:41AM,1.14,TODAY,03:00PM,-0.01,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
29-Sep,06:49AM,1.12,TODAY,03:34PM,0.04,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
30-Sep,07:52AM,1.09,TODAY,04:03PM,0.11,TODAY,10:49PM,0.58,TODAY,-,-,-,-,-,-,-,-,-
1-Oct,08:51AM,1.04,TODAY,01:31AM,0.55,TODAY,10:30PM,0.63,TODAY,04:27PM,0.21,TODAY,-,-,-,-,-,-
2-Oct,09:05AM,0.99,TODAY,03:06AM,0.47,TODAY,10:29PM,0.72,TODAY,04:45PM,0.31,TODAY,-,-,-,-,-,-
3-Oct,10:35AM,0.91,TODAY,04:12AM,0.38,TODAY,10:40PM,0.82,TODAY,04:46PM,0.4,TODAY,-,-,-,-,-,-
4-Oct,11:22AM,0.82,TODAY,05:12AM,0.3,TODAY,10:57PM,0.92,TODAY,04:36PM,0.47,TODAY,-,-,-,-,-,-
5-Oct,12:09PM,0.71,TODAY,06:06AM,0.23,TODAY,11:18PM,1.01,TODAY,04:22PM,0.5,TODAY,-,-,-,-,-,-
6-Oct,12:58PM,0.6,TODAY,07:00AM,0.18,TODAY,11:38PM,1.08,TODAY,04:13PM,0.51,TODAY,-,-,-,-,-,-
7-Oct,02:04PM,0.5,TODAY,07:52AM,0.13,TODAY,-,-,-,03:42PM,0.49,TODAY,-,-,-,-,-,-
8-Oct,12:00AM,1.13,TODAY,08:48AM,0.09,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
9-Oct,12:29AM,1.18,TODAY,09:53AM,0.05,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
10-Oct,01:06AM,1.2,TODAY,11:06AM,0,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
11-Oct,01:58AM,1.2,TODAY,12:20PM,-0.05,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
12-Oct,03:09AM,1.19,TODAY,01:21PM,-0.09,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
13-Oct,04:41AM,1.17,TODAY,02:11PM,-0.09,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
14-Oct,06:09AM,1.15,TODAY,02:51PM,-0.04,TODAY,10:22PM,0.57,TODAY,11:45PM,0.56,TODAY,-,-,-,-,-,-
15-Oct,07:26AM,1.1,TODAY,03:24PM,0.06,TODAY,09:42PM,0.61,TODAY,-,-,-,-,-,-,-,-,-
16-Oct,08:43AM,1.03,TODAY,02:00AM,0.43,TODAY,09:45PM,0.74,TODAY,03:19PM,0.19,TODAY,-,-,-,-,-,-
17-Oct,09:58AM,0.91,TODAY,03:26AM,0.26,TODAY,09:45PM,0.74,TODAY,04:06PM,0.33,TODAY,-,-,-,-,-,-
18-Oct,11:10AM,0.78,TODAY,04:37AM,0.26,TODAY,10:25PM,1.05,TODAY,04:09PM,0.46,TODAY,-,-,-,-,-,-
19-Oct,12:24PM,0.63,TODAY,05:44AM,-0.03,TODAY,10:54PM,1.19,TODAY,03:46PM,0.52,TODAY,-,-,-,-,-,-
20-Oct,11:27PM,1.28,TODAY,06:50AM,-0.11,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
22-Oct,12:04AM,1.32,TODAY,09:09AM,-0.17,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
23-Oct,12:45AM,1.3,TODAY,10:23AM,-0.16,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
24-Oct,01:33AM,1.24,TODAY,11:33AM,-0.13,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
25-Oct,02:29AM,1.15,TODAY,12:23PM,-0.09,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
26-Oct,03:44AM,1.05,TODAY,01:21PM,-0.04,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
27-Oct,05:06AM,0.97,TODAY,02:00PM,0.03,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
28-Oct,06:21AM,0.89,TODAY,02:31PM,0.12,TODAY,09:38PM,0.63,TODAY,-,-,-,-,-,-,-,-,-
29-Oct,07:34AM,0.81,TODAY,01:52AM,0.54,TODAY,09:21PM,0.69,TODAY,02:53PM,0.21,TODAY,-,-,-,-,-,-
30-Oct,08:43AM,0.74,TODAY,03:09AM,0.41,TODAY,09:21PM,0.78,TODAY,03:01PM,0.31,TODAY,-,-,-,-,-,-
31-Oct,09:45AM,0.67,TODAY,04:04AM,0.28,TODAY,09:30PM,0.89,TODAY,02:54PM,0.39,TODAY,-,-,-,-,-,-
1-Nov,10:43AM,0.59,TODAY,04:52AM,0.15,TODAY,09:47PM,1,TODAY,02:39PM,0.44,TODAY,-,-,-,-,-,-
2-Nov,11:41AM,0.52,TODAY,05:37AM,0.05,TODAY,10:07PM,1.09,TODAY,02:31PM,0.46,TODAY,-,-,-,-,-,-
3-Nov,10:28PM,1.16,TODAY,06:20AM,-0.03,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
4-Nov,10:50PM,1.21,TODAY,07:03AM,-0.09,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
5-Nov,11:16PM,1.24,TODAY,07:48AM,-0.12,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
6-Nov,11:50PM,1.24,TODAY,08:37AM,-0.15,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
8-Nov,12:33AM,1.22,TODAY,10:36AM,-0.09,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
9-Nov,01:29AM,1.17,TODAY,11:36AM,-0.17,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
10-Nov,02:42AM,1.09,TODAY,12:34PM,-0.13,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
11-Nov,04:19AM,0.98,TODAY,01:18PM,-0.06,TODAY,09:20PM,0.58,TODAY,11:00PM,0.57,TODAY,-,-,-,-,-,-
12-Nov,05:55AM,0.87,TODAY,01:51PM,0.06,TODAY,08:33PM,0.64,TODAY,-,-,-,-,-,-,-,-,-
13-Nov,07:27AM,0.74,TODAY,01:36AM,0.41,TODAY,08:34PM,0.77,TODAY,02:12PM,0.2,TODAY,-,-,-,-,-,-
14-Nov,09:03AM,0.63,TODAY,02:58AM,0.2,TODAY,08:48PM,0.94,TODAY,02:20PM,0.32,TODAY,-,-,-,-,-,-
15-Nov,10:34AM,0.52,TODAY,04:04AM,-0.01,TODAY,02:07PM,0.41,TODAY,-,-,-,-,-,-,-,-,-
16-Nov,12:15PM,0.44,TODAY,05:05AM,-0.18,TODAY,09:42PM,1.24,TODAY,01:30PM,0.43,TODAY,-,-,-,-,-,-
17-Nov,10:15PM,1.33,TODAY,06:03AM,-0.3,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
18-Nov,10:52PM,1.36,TODAY,07:00AM,-0.36,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
19-Nov,10:52PM,1.36,TODAY,07:58AM,-0.36,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
21-Nov,12:15AM,1.27,TODAY,09:52AM,0.27,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
22-Nov,01:02AM,1.17,TODAY,10:45AM,0.2,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
23-Nov,01:53AM,1.04,TODAY,11:33AM,-0.12,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
24-Nov,02:45AM,0.9,TODAY,12:12PM,-0.03,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
25-Nov,04:12AM,0.76,TODAY,12:40PM,0.07,TODAY,08:43PM,0.61,TODAY,-,-,-,-,-,-,-,-,-
26-Nov,05:41AM,0.62,TODAY,01:18AM,0.52,TODAY,08:18PM,0.68,TODAY,12:57PM,0.17,TODAY,-,-,-,-,-,-
27-Nov,07:17AM,0.5,TODAY,02:48AM,0.36,TODAY,08:16PM,0.77,TODAY,01:00PM,0.26,TODAY,-,-,-,-,-,-
28-Nov,08:49AM,0.42,TODAY,03:41AM,0.19,TODAY,08:25PM,0.89,TODAY,12:48PM,0.32,TODAY,-,-,-,-,-,-
29-Nov,10:15AM,0.37,TODAY,04:24AM,0.04,TODAY,08:42PM,1,TODAY,12:33PM,0.35,TODAY,-,-,-,-,-,-
30-Nov,09:03PM,1.1,TODAY,05:03AM,-0.09,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
1-Dec,09:27PM,1.18,TODAY,05:40AM,-0.2,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
2-Dec,09:54PM,1.24,TODAY,06:18AM,-0.27,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
3-Dec,09:54PM,1.24,TODAY,06:56AM,-0.31,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
4-Dec,10:59PM,1.28,TODAY,07:36AM,-0.33,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
5-Dec,11:40PM,1.25,TODAY,08:21AM,-0.33,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
7-Dec,12:28AM,1.19,TODAY,10:00AM,-0.26,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
8-Dec,01:24AM,1.07,TODAY,10:49AM,-0.19,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
9-Dec,02:31AM,0.92,TODAY,11:33AM,-0.08,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
10-Dec,03:57AM,0.72,TODAY,12:03PM,0.05,TODAY,07:13PM,0.59,TODAY,-,-,-,-,-,-,-,-,-
11-Dec,05:45AM,0.53,TODAY,12:42AM,0.38,TODAY,07:18PM,0.74,TODAY,12:16PM,0.18,TODAY,-,-,-,-,-,-
12-Dec,08:02AM,0.38,TODAY,02:25AM,0.16,TODAY,07:36PM,0.91,TODAY,12:03PM,0.27,TODAY,-,-,-,-,-,-
13-Dec,08:04PM,1.08,TODAY,03:33AM,-0.07,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
14-Dec,08:37PM,1.22,TODAY,04:29AM,-0.26,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
15-Dec,09:14PM,1.31,TODAY,05:20AM,-0.39,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
16-Dec,09:54PM,1.35,TODAY,06:09AM,-0.47,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
17-Dec,10:36PM,1.34,TODAY,06:57AM,-0.48,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
18-Dec,11:18PM,1.28,TODAY,07:43AM,-0.44,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
20-Dec,12:03AM,1.19,TODAY,09:09AM,-0.28,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
21-Dec,12:03AM,1.19,TODAY,09:09AM,-0.28,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
22-Dec,01:30AM,0.92,TODAY,10:20AM,-0.09,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
23-Dec,02:14AM,0.75,TODAY,10:43AM,0.02,TODAY,08:03PM,0.51,TODAY,10:34PM,0.5,TODAY,-,-,-,-,-,-
24-Dec,03:05AM,0.57,TODAY,10:52AM,0.11,TODAY,06:54PM,0.59,TODAY,-,-,-,-,-,-,-,-,-
25-Dec,04:41AM,0.39,TODAY,01:42AM,0.36,TODAY,06:54PM,0.59,TODAY,10:47AM,0.19,TODAY,-,-,-,-,-,-
26-Dec,07:22AM,0.25,TODAY,03:03AM,0.18,TODAY,07:07PM,0.81,TODAY,10:17AM,0.23,TODAY,-,-,-,-,-,-
27-Dec,07:22AM,0.25,TODAY,03:03AM,0.18,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
28-Dec,07:54PM,1.04,TODAY,04:24AM,-0.14,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
29-Dec,08:24PM,1.14,TODAY,04:57AM,-0.26,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
30-Dec,08:58PM,1.22,TODAY,05:30AM,-0.35,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
31-Dec,09:36PM,1.27,TODAY,06:04AM,-0.41,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
-,12:45AM,0.69,TODAY,06:45AM,0.2,TODAY,12:58PM,0.62,TODAY,07:27PM,-,-,-,-,-,-,-,-
