date_astro,HI1_TIME,HI1,HI1_TODAY,LO1_TIME,LO1,LO1_TODAY,HI2_TIME,HI2,HI2_TODAY,LO2_TIME,LO2,LO2_TODAY,HI3_TIME,HI3,HI3_DAY,LO3_TIME,LO3,LO3_DAY
23-Feb,09:19PM,1.08,TODAY,05:11AM,-0.26,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
24-Feb,10:07PM,1.07,TODAY,05:40AM,-0.21,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
25-Feb,12:17PM,0.3,TODAY,06:07AM,-0.13,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
26-Feb,10:51PM,1.02,TODAY,02:51PM,0.26,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
27-Feb,12:24PM,0.44,TODAY,06:49AM,0.05,TODAY,-,-,-,05:02PM,0.22,TODAY,-,-,-,-,-,-
28-Feb,12:09AM,0.82,TODAY,06:54AM,0.14,TODAY,12:39PM,0.53,TODAY,06:09PM,0.22,TODAY,-,-,-,-,-,-
1-Mar,01:22AM,0.55,TODAY,06:34AM,0.24,TODAY,01:20PM,0.71,TODAY,08:50PM,0.16,TODAY,-,-,-,-,-,-
2-Mar,02:05AM,0.4,TODAY,06:22AM,0.25,TODAY,01:48PM,0.8,TODAY,10:17PM,0.1,TODAY,-,-,-,-,-,-
3-Mar,03:15AM,0.26,TODAY,05:34AM,0.24,TODAY,02:23PM,0.88,TODAY,11:54PM,0.01,TODAY,-,-,-,-,-,-
4-Mar,03:12PM,0.95,TODAY,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5-Mar,04:18PM,1.02,TODAY,01:24AM,-0.12,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
6-Mar,05:37PM,1.09,TODAY,02:29AM,-0.24,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
7-Mar,06:52PM,1.16,TODAY,03:18AM,-0.32,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
8-Mar,08:02PM,1.21,TODAY,04:01AM,-0.36,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
9-Mar,09:09PM,1.2,TODAY,04:39AM,-0.33,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
10-Mar,11:28AM,0.32,TODAY,05:15AM,-0.25,TODAY,10:13PM,1.14,TODAY,02:44PM,0.22,TODAY,-,-,-,-,-,-
11-Mar,11:34AM,0.42,TODAY,05:47AM,-0.11,TODAY,11:13PM,1.02,TODAY,04:08PM,0.14,TODAY,-,-,-,-,-,-
12-Mar,11:51AM,0.56,TODAY,06:12AM,0.04,TODAY,-,-,-,05:24PM,0.06,TODAY,-,-,-,-,-,-
13-Mar,12:09AM,0.85,TODAY,06:26AM,0.18,TODAY,12:15PM,0.71,TODAY,06:39PM,0.01,TODAY,-,-,-,-,-,-
14-Mar,01:04AM,0.65,TODAY,06:24AM,0.29,TODAY,12:45PM,0.84,TODAY,07:55PM,-0.03,TODAY,-,-,-,-,-,-
15-Mar,02:06AM,0.45,TODAY,05:53AM,0.33,TODAY,01:19PM,0.94,TODAY,09:19PM,-0.05,TODAY,-,-,-,-,-,-
16-Mar,01:57PM,0.99,TODAY,10:57PM,-0.09,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
17-Mar,02:41PM,1.01,TODAY,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18-Mar,03:36PM,1,TODAY,12:33AM,-0.13,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
19-Mar,04:50PM,0.98,TODAY,01:49AM,-0.17,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
20-Mar,06:03PM,0.97,TODAY,02:42AM,-0.19,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
21-Mar,07:11PM,0.97,TODAY,03:23AM,-0.18,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
22-Mar,08:13PM,0.96,TODAY,03:57AM,-0.14,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
23-Mar,11:16AM,0.4,TODAY,04:26AM,-0.08,TODAY,09:09PM,0.94,TODAY,01:26PM,0.38,TODAY,-,-,-,-,-,-
24-Mar,10:53AM,0.44,TODAY,04:51AM,0.01,TODAY,10:00PM,0.89,TODAY,03:02PM,0.31,TODAY,-,-,-,-,-,-
25-Mar,10:53AM,0.52,TODAY,05:11AM,0.1,TODAY,10:47PM,0.83,TODAY,04:08PM,0.24,TODAY,-,-,-,-,-,-
26-Mar,11:04AM,0.62,TODAY,05:20AM,0.2,TODAY,11:31PM,0.74,TODAY,05:06PM,0.18,TODAY,-,-,-,-,-,-
27-Mar,11:21AM,0.71,TODAY,05:15AM,0.27,TODAY,-,-,-,06:01PM,0.12,TODAY,-,-,-,-,-,-
28-Mar,12:14AM,0.63,TODAY,05:03AM,0.32,TODAY,11:39AM,0.81,TODAY,06:55PM,0.07,TODAY,-,-,-,-,-,-
29-Mar,12:57AM,0.51,TODAY,04:57AM,0.34,TODAY,11:59AM,0.89,TODAY,07:51PM,0.02,TODAY,-,-,-,-,-,-
30-Mar,01:49AM,0.4,TODAY,04:42AM,0.34,TODAY,12:21PM,0.96,TODAY,08:51PM,-0.02,TODAY,-,-,-,-,-,-
1-Apr,01:33PM,1.06,TODAY,11:24PM,-0.14,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
2-Apr,02:28PM,1.08,TODAY,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3-Apr,03:45PM,1.08,TODAY,12:43AM,-0.2,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
4-Apr,05:18PM,1.09,TODAY,01:48AM,-0.25,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
5-Apr,06:42PM,1.08,TODAY,02:39AM,-0.25,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
6-Apr,10:33AM,0.41,TODAY,03:19AM,-0.2,TODAY,07:58PM,1.05,TODAY,12:13PM,0.4,TODAY,-,-,-,-,-,-
7-Apr,10:08AM,0.47,TODAY,03:54AM,-0.1,TODAY,09:12PM,0.98,TODAY,02:19PM,0.29,TODAY,-,-,-,-,-,-
8-Apr,10:15AM,0.59,TODAY,04:22AM,0.03,TODAY,10:22PM,0.87,TODAY,03:43PM,0.14,TODAY,-,-,-,-,-,-
9-Apr,10:32AM,0.74,TODAY,04:43AM,0.18,TODAY,-,-,-,11:27PM,0.72,TODAY,-,-,-,-,-,-
10-Apr,04:51AM,0.92,TODAY,06:01PM,-0.09,TODAY,10:55AM,0.9,TODAY,-,-,-,-,-,-,-,-,-
11-Apr,12:34AM,0.57,TODAY,04:36AM,0.4,TODAY,11:24AM,1.03,TODAY,07:06PM,-0.16,TODAY,-,-,-,-,-,-
12-Apr,01:24AM,0.42,TODAY,03:48AM,0.4,TODAY,11:56AM,1.12,TODAY,08:14PM,-0.19,TODAY,-,-,-,-,-,-
13-Apr,12:31PM,1.15,TODAY,09:26PM,-0.2,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
14-Apr,01:10PM,1.15,TODAY,10:40PM,-0.19,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
15-Apr,01:54PM,1.1,TODAY,11:51PM,-0.18,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
16-Apr,02:50PM,1.04,TODAY,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17-Apr,04:06PM,0.97,TODAY,12:54AM,-0.15,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
18-Apr,05:27PM,0.91,TODAY,01:44AM,-0.11,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
19-Apr,06:41PM,0.85,TODAY,02:25AM,-0.06,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
20-Apr,10:09AM,0.53,TODAY,02:58AM,0.02,TODAY,07:51PM,0.8,TODAY,03:33AM,0.48,TODAY,-,-,-,-,-,-
21-Apr,09:45AM,0.58,TODAY,03:21AM,0.11,TODAY,08:55PM,0.74,TODAY,03:00PM,0.37,TODAY,-,-,-,-,-,-
22-Apr,09:42AM,0.66,TODAY,03:34AM,0.21,TODAY,10:53PM,0.68,TODAY,04:00PM,0.25,TODAY,-,-,-,-,-,-
23-Apr,09:52AM,0.77,TODAY,03:33AM,0.3,TODAY,10:47PM,0.61,TODAY,04:51PM,0.14,TODAY,-,-,-,-,-,-
24-Apr,10:09AM,0.88,TODAY,03:22AM,0.36,TODAY,11:39PM,0.53,TODAY,05:37PM,0.04,TODAY,-,-,-,-,-,-
25-Apr,10:28AM,0.98,TODAY,03:16AM,0.39,TODAY,-,-,-,06:22PM,-0.04,TODAY,-,-,-,-,-,-
26-Apr,12:37AM,0.45,TODAY,03:11AM,0.4,TODAY,10:49AM,1.06,TODAY,07:07PM,-0.1,TODAY,-,-,-,-,-,-
27-Apr,11:11AM,1.13,TODAY,07:55PM,-0.15,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
28-Apr,11:39AM,1.18,TODAY,08:49PM,-0.19,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
29-Apr,12:18PM,1.2,TODAY,09:51PM,-0.21,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
30-Apr,01:06PM,1.19,TODAY,11:01PM,-0.23,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
1-May,02:10PM,1.15,TODAY,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2-May,03:34PM,1.08,TODAY,12:09AM,-0.22,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
